item,itemLabel,page_title,gnis,website
http://www.wikidata.org/entity/Q6772616,"Marquette Senior High School, Marquette, Michigan","Marquette Senior High School (Marquette, Michigan)",,
http://www.wikidata.org/entity/Q19771669,Buena Vista High School,Buena Vista High School (Michigan),,
http://www.wikidata.org/entity/Q6818747,Mercy High School,"Mercy High School (Farmington Hills, Michigan)",,
http://www.wikidata.org/entity/Q7111023,Our Lady of the Lakes High School,Our Lady of the Lakes Catholic School (Michigan),,
http://www.wikidata.org/entity/Q28230665,Harper Woods High School,Harper Woods High School,,
http://www.wikidata.org/entity/Q24040104,Pontiac Catholic High School,Pontiac Catholic High School,,
http://www.wikidata.org/entity/Q24040106,River Rouge Our Lady of Lourdes High School,"Our Lady of Lourdes High School (River Rouge, Michigan)",,
http://www.wikidata.org/entity/Q7055345,North Farmington High School,North Farmington High School,,
http://www.wikidata.org/entity/Q60745126,Otsego High School,Otsego High School (Michigan),,
http://www.wikidata.org/entity/Q7073992,Oakland Early College,Oakland Early College,,
http://www.wikidata.org/entity/Q19864988,Lake Linden–Hubbell High School,Lake Linden–Hubbell High School,,
http://www.wikidata.org/entity/Q7110914,Our Lady of Mount Carmel High School,"Our Lady of Mount Carmel High School (Wyandotte, Michigan)",,
http://www.wikidata.org/entity/Q6814114,Melvindale High School,Melvindale High School,,http://www.melnap.k12.mi.us/education/school/school.php?sectionid=4&
http://www.wikidata.org/entity/Q14716157,International Academy,International Academy,,http://www.iatoday.org/
http://www.wikidata.org/entity/Q14716313,Utica High School (Michigan),Utica High School (Michigan),,http://www.uticak12.org/schools/sc_utica.asp
http://www.wikidata.org/entity/Q7230697,Port Huron Northern High School,Port Huron Northern High School,,http://phn.phasd.us
http://www.wikidata.org/entity/Q7399268,Heritage High School,"Heritage High School (Saginaw, Michigan)",,http://saginaw.cyberschool.com/HHS/
http://www.wikidata.org/entity/Q7397217,Sacred Heart High School,"Sacred Heart High School (Roseville, Michigan)",,
http://www.wikidata.org/entity/Q7109187,Ottawa Hills High School,Ottawa Hills High School (Michigan),,
http://www.wikidata.org/entity/Q7970609,Warren Woods Tower High School,Warren Woods Tower High School,,
http://www.wikidata.org/entity/Q16998238,Kent Innovation High,Kent Innovation High,,http://studentvoice.kentisd.org/theschool/
http://www.wikidata.org/entity/Q7982926,Wenona Center High School,Wenona Center High School,,
http://www.wikidata.org/entity/Q7399270,Saginaw High School,Saginaw High School,,http://shs.spsd.net/
http://www.wikidata.org/entity/Q7236811,Powers Catholic High School,Powers Catholic High School,,http://www.powerscatholic.org/
http://www.wikidata.org/entity/Q12060444,Holt High School (Michigan),Holt High School (Michigan),,
http://www.wikidata.org/entity/Q6761901,Marian High School,Marian High School (Michigan),,http://www.marian-hs.org
http://www.wikidata.org/entity/Q7974557,Watervliet High School,"Watervliet High School (Watervliet, Michigan)",,http://www.watervlietps.org/domain/46
http://www.wikidata.org/entity/Q6965037,Napoleon High School,Napoleon High School (Michigan),,
http://www.wikidata.org/entity/Q14716343,Walled Lake Western High School,Walled Lake Western High School,,http://www.wlcsd.org/western.cfm
http://www.wikidata.org/entity/Q7591004,St. Patrick High School,"St. Patrick High School (Portland, Michigan)",,
http://www.wikidata.org/entity/Q7797754,Three Rivers High School,Three Rivers High School (Michigan),,http://www.trschools.org/ths/
