EntityOfficialName,EntityStatus,EntityPhone,EntityPhysicalStreet,EntityPhysicalCity,EntityPhysicalState,EntityPhysicalZip4,DistrictOfficialName,EntityActualGrades,EntityReligiousOrientationName
Bingham Arts Academy,Closed,9893582500,555 S Fifth Ave                                             ,Alpena                                                      ,MI,497072744,Bingham Arts Academy,"KG,1,2,3,4,5",
Hillman Community Jr/Sr High School,Open-Active,9897424538,26042 M 32 S,HILLMAN,MI,497469788,Hillman Community Schools,"6,7,8,9,10,11,12",
Hillman Elementary School,Open-Active,9897424537,245 EAST 3RD ST,HILLMAN,MI,497469213,Hillman Community Schools,"KG,1,2,3,4,5",
Delton Kellogg Elem. School,Open-Active,2696231535,327 NORTH GROVE ST,DELTON,MI,490469771,Delton Kellogg Schools,"KG,1,2,3,4",
Delton-Kellogg High School,Open-Active,2696231525,10425 PANTHER PRIDE,DELTON,MI,490468825,Delton Kellogg Schools,"9,10,11,12",
Delton-Kellogg Middle School,Open-Active,2696231545,6325 DELTON RD,DELTON,MI,490467300,Delton Kellogg Schools,"5,6,7,8",
DK Academy,Open-Active,2696231525,327 NORTH GROVE ST,DELTON,MI,490469771,Delton Kellogg Schools,"9,10,11,12",
Central Elementary School,Open-Active,2699484423,509 SOUTH BROADWAY ST,HASTINGS,MI,490582265,Hastings Area School District,"KG-Part,1,2,3,4,5",
Hastings Area High School Alternative Education,Closed,2699484400,232 W Grand St                                              ,Hastings                                                    ,MI,49058,Hastings Area School District,"9,10,11,12",
Hastings Area Schools Alternative Education,Closed,2699484400,520 W. South Street,Hastings,MI,49058,Hastings Area School District,"9,10,11,12",
Hastings High School,Open-Active,2699484409,520 WEST SOUTH ST,HASTINGS,MI,490582156,Hastings Area School District,"9,10,11,12",
Hastings Middle School,Open-Active,2699484404,232 WEST GRAND ST,HASTINGS,MI,490582225,Hastings Area School District,"6,7,8",
Northeastern Elementary School,Open-Active,2699484421,519 EAST GRANT ST,HASTINGS,MI,490581317,Hastings Area School District,"KG-Part,1,2,3,4,5",
Pleasantview Elementary School,Closed,2697583361,3754 Lacey Rd,Bellevue,MI,490219215,Hastings Area School District,"KG-Part,1,2,3,4,5",
Southeastern Elementary School,Open-Active,2699484419,1300 SOUTH EAST ST,HASTINGS,MI,490582555,Hastings Area School District,"KG-Part,1,2,3,4,5",
Star Elementary School,Open-Active,2699484442,1900 STAR SCHOOL RD,HASTINGS,MI,490588784,Hastings Area School District,"DevK-Part,KG-Part,1,2,3,4,5",
Arenac Eastern Elementary/Middle School,Closed,9898674234,200 SMALLEY ST,TWINING,MI,487665123,Arenac Eastern School District,"KG,1,2,3,4,5,6,7,8",
Arenac Eastern High School,Closed,9898674234,200 SMALLEY ST,TWINING,MI,487665123,Arenac Eastern School District,"9,10,11,12",
Au Gres-Sims Elementary School,Open-Active,9898767157,310 SOUTH COURT ST,AU GRES,MI,487039332,Au Gres-Sims School District,"KG,1,2,3,4,5",
Au Gres-Sims High School,Open-Active,9898767157,140 SOUTH COURT ST,AU GRES,MI,487039331,Au Gres-Sims School District,"9,10,11,12",
Au Gres-Sims Middle School,Open-Active,9898767157,140 S Court St                                              ,Au Gres                                                     ,MI,487039331,Au Gres-Sims School District,"6,7,8",
Bangor Central School,Open-Active,9896848891,208 STATE PARK DR,BAY CITY,MI,487061761,Bangor Township Schools,"DevK,KG,1,2,3,4,5",
Bangor Lincoln School,Open-Active,9896867639,2771 NORTH EUCLID AVE,BAY CITY,MI,487061190,Bangor Township Schools,"KG,1,2,3,4,5",
Bangor Township Virtual School,Open-Active,9896848121,3359 E. Midland Road,Bay City,MI,487062825,Bangor Township Schools,"KG,1,2,3,4,5,6,7,8,9,10,11,12",
Bangor West Central School,Open-Active,9896843373,3175 WILDER RD,BAY CITY,MI,487062361,Bangor Township Schools,"KG,1,2,3,4,5",
Christa McAuliffe Middle School,Open-Active,9896867640,3281 KIESEL RD,BAY CITY,MI,487062447,Bangor Township Schools,"6,7,8",
John Glenn High School,Open-Active,9896847510,3201 KIESEL RD,BAY CITY,MI,487062447,Bangor Township Schools,"9,10,11,12",
Westside Alternative School,Closed,9896863946,3736 State Street Rd,Bay City,MI,487062111,Bangor Township Schools,,
Bay City Academy - Farragut Campus,Open-Active,9894148254,301 N Farragut St                                           ,Bay City                                                    ,MI,487086599,Bay City Academy,"KG,1,2,3,4,5,6,7,8,9,10,11",
Bay City Academy - Germania Campus,Closed,2312184746,311 Germania St                                             ,Bay City                                                    ,MI,487065082,Bay City Academy,"KG,1,2,3,4,5,6,7,8",
Bay City Academy - Madison Arts Campus,Closed,9894145480,400 N. Madison Avenue,Bay City,MI,487086470,Bay City Academy,"6,7,8,9",
Bay City Academy - Wolverine Campus,Closed,2316314746,120 N Jackson St                                            ,Bay City                                                    ,MI,48708,Bay City Academy,"KG,1,2,3,4,5",
Bay City Academy - YMCA Campus,Closed,2316314746,111 N Madison Ave                                           ,Bay City                                                    ,MI,48708,Bay City Academy,KG,
North Central Academy Campus,Open-Active,2315842080,5055 COREY RD,MANCELONA,MI,496599467,Bay City Academy,"KG,1,2,3,4,5,6,7,8,9,10,11,12",
Auburn Elementary School,Open-Active,9896624921,301 EAST MIDLAND RD,AUBURN,MI,486119751,Bay City School District,"KG,1,2,3,4,5",
Bay City Adult Education/CTP,Open-Active,9896864770,4155 MONITOR RD,BAY CITY,MI,487069211,Bay City School District,"9,10,11,12",
Bay City Central High School,Open-Active,9898939541,1624 COLUMBUS AVE,BAY CITY,MI,487086827,Bay City School District,"9,10,11,12",
Bay City Eastern High School,Open-Active,9898955550,201 WOODSIDE LN,BAY CITY,MI,487085546,Bay City School District,"9,10,11,12",
Bay City Virtual School,Open-Pending,9898955550,201 WOODSIDE LN,BAY CITY,MI,487085546,Bay City School District,"9,10,11,12",
Bay City Western High School,Open-Active,9896624481,500 WEST MIDLAND RD,AUBURN,MI,486119300,Bay City School District,"9,10,11,12",
Eastside Middle School,Closed,9898927515,201 Woodside Ln,Bay City,MI,487065546,Bay City School District,"6,7,8",
Eastside Middle School,Closed,9898927515,201 Woodside Ln,Bay City,MI,487085546,Bay City School District,"6,7,8",
Forest Center,Open-Active,9894963430,2169 WEST MIDLAND RD,AUBURN,MI,486119562,Bay City School District,,
Fremont School,Closed,5176869700,1001 Marsac St,Bay City,MI,487087863,Bay City School District,"KG-Part,1,2,3,4,5",
Hampton Elementary School,Open-Active,9898931100,1908 WEST YOUNGS DITCH RD,BAY CITY,MI,487086969,Bay City School District,"KG,1,2,3,4,5",
Handy Middle School,Open-Active,9896841723,601 BLEND ST,BAY CITY,MI,487064306,Bay City School District,"6,7,8",
Kolb Elementary School,Open-Active,9898939518,305 WEST CRUMP ST,BAY CITY,MI,487065027,Bay City School District,"KG,1,2,3,4,5",
Linsday Elementary School,Open-Active,9896840692,607 LASALLE ST,BAY CITY,MI,487063949,Bay City School District,"KG,1,2,3,4,5",
MacGregor Elementary School,Open-Active,9898921558,1012 FREMONT ST,BAY CITY,MI,487087962,Bay City School District,"KG,1,2,3,4,5",
Mackensen Elementary School,Open-Active,9896844941,5535 DENNIS DR,BAY CITY,MI,487063109,Bay City School District,"KG,1,2,3,4,5",
McAlear-Sawden Elem. School,Open-Active,9896847702,2300 MIDLAND RD,BAY CITY,MI,487069486,Bay City School District,"KG,1,2,3,4,5",
McKinley Alternative School,Closed,5176670831,407 W Ohio St,Bay City,MI,487064323,Bay City School District,"7,8",
Riegel Elementary School,Closed,9898933611,1805 Raymond St,Bay City,MI,487065288,Bay City School District,"KG-Part,1,2,3,4,5",
Thomas Jefferson Elem. School,Closed,9898956595,325 Park Ave,Bay City,MI,487086855,Bay City School District,"RetK,RetK-Part,KG-Part,1,2,3,4,5",
Trombley Learning Center,Closed,5176670440,401 N Bangor St,Bay City,MI,487064044,Bay City School District,"KG-Part,1,2,3,4,5",
Trombley School,Closed,5176869700,401 Bangor Rd,Bay City,MI,48706,Bay City School District,"KG-Part,1,2,3,4,5",
Washington Elementary School,Open-Active,9898942744,1821 MCKINLEY ST,BAY CITY,MI,487086735,Bay City School District,"KG,1,2,3,4,5",
Webster Elementary School,Closed,5176860198,1483 Midland Rd,Bay City,MI,487069474,Bay City School District,"1,2,3,4,5",
Western Middle School,Open-Active,9896624489,500 WEST MIDLAND RD,AUBURN,MI,486119300,Bay City School District,"6,7,8",
Whittier Elementary School,Closed,9898951472,2515 Broadway St,Bay City,MI,487088401,Bay City School District,"KG-Part,1,2,3,4,5",
Bay-Arenac Community High School,Open-Active,9898938811,805 Langstaff St                                            ,Essexville                                                  ,MI,487321367,Bay-Arenac Community High School,"9,10,11,12",
Cramer Junior High School,Open-Active,9898949740,313 PINE ST,ESSEXVILLE,MI,487321584,Essexville-Hampton Public Schools,"5,6,7,8",
Garber High School,Open-Active,9898949710,213 PINE ST,ESSEXVILLE,MI,487321582,Essexville-Hampton Public Schools,"9,10,11,12",
Hughes Elementary School,Closed,9898949750,805 LANGSTAFF ST,ESSEXVILLE,MI,487321367,Essexville-Hampton Public Schools,"4,5",
Verellen Elementary School,Open-Active,9898949770,612 BORTON RD,ESSEXVILLE,MI,48732    ,Essexville-Hampton Public Schools,"2,3,4",
W.R. Bush Elementary School,Open-Active,9898949760,800 NEBOBISH AVE,ESSEXVILLE,MI,48732    ,Essexville-Hampton Public Schools,"DevK,KG,1",
Garfield-Fraser Elementary School,Closed,9898794970,1412 GARFIELD ROAD,PINCONNING,MI,48650,Pinconning Area Schools,"KG-Part,1,2,3,4,5,6",
Linwood Elementary School,Open-Active,9896975711,517 WEST CENTER ST,LINWOOD,MI,486349210,Pinconning Area Schools,"KG,1,2,3,4,5",
Mt. Forest Elementary School,Closed,9898792798,4197 NORTH 11 MILE RD,PINCONNING,MI,486507022,Pinconning Area Schools,"KG,1,2,3,4,5,6",
Pinconning Central Elementary School,Open-Active,9893080502,609 WEST 5TH ST,PINCONNING,MI,486508706,Pinconning Area Schools,"KG,1,2,3,4,5",
Pinconning High School,Open-Active,9893080531,605 WEST 5TH ST,PINCONNING,MI,486508706,Pinconning Area Schools,"9,10,11,12",
Pinconning Middle School,Open-Active,9893080503,605 WEST 5TH ST,PINCONNING,MI,486508706,Pinconning Area Schools,"6,7,8",
Standish-Sterling Central Elementary School,Open-Active,9898464526,3789 Wyatt Road,Standish,MI,486589120,Standish-Sterling Community Schools,"1,2,3,4,5,6",
Standish-Sterling Central Jr/Sr High School,Open-Active,9898463660,2401 GROVE RD,STANDISH,MI,48658    ,Standish-Sterling Community Schools,"7,8,9,10,11,12",
Standish-Sterling Middle School,Closed,9898464526,3789 WYATT RD,STANDISH,MI,486589120,Standish-Sterling Community Schools,"6,7,8",
Sterling Elementary School,Open-Active,9896542367, 338 W State St,Sterling,MI,486599581,Standish-Sterling Community Schools,"DevK,KG",
State Street Academy,Open-Active,9896846484,1110 STATE ST,BAY CITY,MI,487063669,State Street Academy,"KG,1,2,3,4,5",
Alternative Education at Sorter,Closed,2696052600,1421 Pipestone Rd                                           ,Benton Harbor                                               ,MI,490222146,Benton Harbor Area Schools,"6,7,8,9,10,11,12",
Arts & Communications Academy at Fair Plain,Open-Active,2696051400,120 E Napier Ave                                            ,Benton Harbor                                               ,MI,49022,Benton Harbor Area Schools,"6,7,8",
Benton Harbor Creative Learning Center,Closed,2699267000,300 Riverview Dr Ste 1,Benton Harbor,MI,490225014,Benton Harbor Area Schools,,
Benton Harbor High School,Open-Active,2696051200,870 COLFAX AVE,BENTON HARBOR,MI,490227409,Benton Harbor Area Schools,"9,10,11,12",
Calvin Britain Elementary School,Closed,2696052000,209 EAST BRITAIN AVE,BENTON HARBOR,MI,490224905,Benton Harbor Area Schools,"KG,1,2,3,4,5",
Career/Technical Center,Closed,2699270740,653 Valley Dr,Benton Harbor,MI,490224131,Benton Harbor Area Schools,"9,10,11,12",
Discovery Enrichment Center,Open-Active,2696051600,465 S Mccord St                                             ,Benton Harbor                                               ,MI,49022,Benton Harbor Area Schools,KG,
Dream Innovative Academy,Open-Active,2696051000,636 PIPESTONE ST,BENTON HARBOR,MI,490224152,Benton Harbor Area Schools,"7,8,9,10,11,12",
Fair Plain East Elementary School,Closed,6169270649,1995 Union St,Benton Harbor,MI,490226265,Benton Harbor Area Schools,"KG-Part,1,2,3,4,5",
Fair Plain Middle School,Closed,2696051400,120 E Napier Ave,Benton Harbor,MI,490227332,Benton Harbor Area Schools,"6,7,8",
Fair Plain Northeast Elementary School,Closed,2699270651,400 Donald Adkins Dr,Benton Harbor,MI,490225949,Benton Harbor Area Schools,"1,2,3,4,5",
Fair Plain Northeast Elementary School,Closed,2696052100,400 Donald Adkins Dr,Benton Harbor,MI,49022,Benton Harbor Area Schools,"KG,1,2,3,4,5",
Fair Plain Northwest Learning Academy,Closed,2696051700,1452 LEARNING LN,BENTON HARBOR,MI,490225664,Benton Harbor Area Schools,"9,10,11,12",
Fair Plain Renaissance Middle School,Closed,2696051231,870 COLFAX,BENTON HARBOR,MI,490227332,Benton Harbor Area Schools,"7,8",
Fair Plain West Elementary School,Closed,2696052200,1901 FAIRPLAIN AVE,BENTON HARBOR,MI,490227023,Benton Harbor Area Schools,"KG,1,2,3,4",
Futures Academy,Closed,6169270614,1200 E Main St,Benton Harbor,MI,490222932,Benton Harbor Area Schools,"7,8,9",
Gifted and Talented Academy,Closed,6169270649,1995 Union St,Benton Harbor,MI,490226265,Benton Harbor Area Schools,"3,4,5",
Global Dual Language School,Open-Active,2695190009,1716 Territorial Road,Benton Habor,MI,490221941,Benton Harbor Area Schools,"1,2,3,4,5,6,7,8",
Hull Middle School,Closed,2696051500,1716 TERRITORIAL RD,BENTON HARBOR,MI,490221941,Benton Harbor Area Schools,"6,7,8",
International Academy at Hull,Open-Active,2696051500,1716 Territorial Rd                                         ,Benton Harbor                                               ,MI,49022,Benton Harbor Area Schools,"1,2,3",
Kindergarten Discovery Center,Closed,2696051600,1995 Union,Benton Harbor,MI,490226265,Benton Harbor Area Schools,KG,
Martindale Elementary School,Closed,2696052300,2199 Laurel Dr,Benton Harbor,MI,490227823,Benton Harbor Area Schools,"KG-Part,1,2,3,4,5",
McCord Elementary School,Closed,2696051600,465 SOUTH MCCORD ST,BENTON HARBOR,MI,490224230,Benton Harbor Area Schools,"KG,1,2,3,4,5",
MLK Freshman Academy,Closed,2696052400,750 EAST BRITAIN AVE,BENTON HARBOR,MI,490224118,Benton Harbor Area Schools,9,
MLK STEAM Magnet Academy,Closed,2696052400,750 E. Britain Avenue,Benton Harbor,MI,49022,Benton Harbor Area Schools,"5,6",
Montessori Academy at Henry C Morton,Closed,2696052500,267 N Hull Ave                                              ,Benton Harbor                                               ,MI,49022,Benton Harbor Area Schools,"1,2,3,4,5,6,7,8",
STEAM Academy at MLK,Open-Active,2696052400,750 E Britain Ave                                           ,Benton Harbor                                               ,MI,49022,Benton Harbor Area Schools,"4,5",
Sterne Brunson Elementary School,Closed,2696052700,1131 Columbus Ave,Benton Harbor,MI,490225548,Benton Harbor Area Schools,"KG-Part,1,2,3,4,5",
Stump Early Childhood Center,Closed,6169270639,1651 Nickerson Ave,Benton Harbor,MI,490222437,Benton Harbor Area Schools,"KG-Part,1,2,3",
Stump School,Closed,2696052700,1651 Nickerson Ave,Benton Harbor,MI,49022,Benton Harbor Area Schools,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",
Benton Harbor Charter School Academy,Open-Active,2699253807,455 RIVERVIEW DR,BENTON HARBOR,MI,490225080,Benton Harbor Charter School Academy,"KG,1,2,3,4,5,6,7,8",
Berrien County Truancy Academy,Open-Active,2694712891,1 Sylvester Ave                                             ,Berrien Springs                                             ,MI,491031126,Berrien Springs Public Schools,"6,7,8",
Berrien Springs Discovery Academy,Open-Active,2694712593,1 SYLVESTER AVE,BERRIEN SPRINGS,MI,491031126,Berrien Springs Public Schools,"6,7,8,9,10,11,12",
Berrien Springs Early Middle College,Closed,2694711748,One Sylvester Ave,Berrien Springs,MI,491031126,Berrien Springs Public Schools,"9,10,11,12",
Berrien Springs High School,Open-Active,2694711748,1 SYLVESTER AVE,BERRIEN SPRINGS,MI,491031126,Berrien Springs Public Schools,"9,10,11,12",
Berrien Springs Middle School,Open-Active,2694712796,1 SYLVESTER AVE,BERRIEN SPRINGS,MI,491031126,Berrien Springs Public Schools,"6,7,8",
Berrien Springs Virtual Academy,Open-Active,2694730500,1 Sylvester Ave,Berrien Springs,MI,49103,Berrien Springs Public Schools,"KG,KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",
Mars Elementary School,Open-Active,2694711836,1 SYLVESTER AVE,BERRIEN SPRINGS,MI,491031126,Berrien Springs Public Schools,"KG,1,2",
Success - Belding,Open-Active,6162323322,9057 Belding Road #2,Belding,MI,488099201,Berrien Springs Public Schools,"9,10,11,12",
Success - Edmore/Montabella/Vestaburg,Open-Active,6162323322,7188 Avenue B,Vestaburg,MI,488919502,Berrien Springs Public Schools,"9,10,11,12",
Success - Escanaba,Open-Active,6162323322,1620 Ludington St,Escanaba,MI,498292840,Berrien Springs Public Schools,"9,10,11,12",
Success - Grand Rapids Fuller Ave,Open-Active,6162323322,1260 Elkhart St. NE,Grand Rapids,MI,495031380,Berrien Springs Public Schools,"9,10,11,12",
SUCCESS - Grand Rapids: Alger Heights,Open-Active,6162323322,2431 Eastern Ave SE                                         ,Grand Rapids                                                ,MI,495073601,Berrien Springs Public Schools,"9,10,11,12",
Success - Howard City/Tri County,Open-Active,6162323322,412 E Edgerton St                                           ,Howard City                                                 ,MI,493298797,Berrien Springs Public Schools,"9,10,11,12",
Success - Ionia,Closed,6162323322,322 W Main St                                               ,Ionia                                                       ,MI,488461650,Berrien Springs Public Schools,"9,10,11,12",
Success - Kenowa Hills,Open-Active,6162323322,3233 Alpine Avenue NW,Grand Rapids,MI,495441631,Berrien Springs Public Schools,"9,10,11,12",
Success - Lakeview,Open-Active,6162323322,9720 N Greenville Rd                                        ,Lakeview                                                    ,MI,488509191,Berrien Springs Public Schools,"9,10,11,12",
Success - Menominee,Open-Active,6162323322,955 1st St                                                  ,Menominee                                                   ,MI,498583233,Berrien Springs Public Schools,"9,10,11,12",
Success - St Louis,Open-Active,6162323322,227 N. Mill,St Louis,MI,488801563,Berrien Springs Public Schools,"9,10,11,12",
Success - Stanton/Central Montcalm,Open-Active,2692831444,710 N State St                                              ,Stanton                                                     ,MI,488889706,Berrien Springs Public Schools,"9,10,11,12",
Success - Three Rivers,Open-Active,6162323322,210 Enterprise Dr                                           ,Three Rivers                                                ,MI,490937901,Berrien Springs Public Schools,"9,10,11,12",
Sylvester Elementary School,Open-Active,2694717198,1 SYLVESTER AVE,BERRIEN SPRINGS,MI,491031126,Berrien Springs Public Schools,"3,4,5",
West Michigan Virtual - Battle Creek HS,Open-Active,2699656486,35 Hamblin Ave                                              ,Battle Creek                                                ,MI,490173537,Berrien Springs Public Schools,"9,10,11,12",
West Michigan Virtual - Battle Creek MS,Open-Active,2694410012,283 West Michigan Ave                                       ,Battle Creek                                                ,MI,490372312,Berrien Springs Public Schools,"6,7,8",
West Michigan Virtual - Greenville,Closed,6167126227,8153 Satterlee Rd                                           ,Greenville                                                  ,MI,488389140,Berrien Springs Public Schools,"9,10,11,12",
West Michigan Virtual - Hartford,Closed,6162323322,36 W Main St                                                ,Hartford                                                    ,MI,490571005,Berrien Springs Public Schools,"9,10,11,12",
Brandywine Elementary School,Open-Active,2696848574,2428 SOUTH 13TH ST,NILES,MI,491204507,Brandywine Community Schools,"3,4,5,6",
Brandywine Innovation Academy,Open-Active,2696838805,1830 S. 3RD ST.,NILES,MI,491204002,Brandywine Community Schools,"6,7,8,9,10,11,12",
Brandywine Middle School,Open-Active,2696834800,1700 BELL RD,NILES,MI,491204670,Brandywine Community Schools,"7,8",
Brandywine Senior High School,Open-Active,2696834800,1700 BELL RD,NILES,MI,491204670,Brandywine Community Schools,"9,10,11,12",
Merritt Elementary School,Open-Active,2696846511,1620 Lasalle Ave,Niles,MI,491204633,Brandywine Community Schools,"DevK,KG,1,2",
Bridgman Alternative Education,Closed,2694660223,9964 Gast Rd,Bridgman,MI,491069750,Bridgman Public Schools,"9,10,11,12",
Bridgman Elementary School,Open-Active,2694660241,3891 LAKE ST,BRIDGMAN,MI,491068708,Bridgman Public Schools,"DevK,KG,1,2,3,4",
Bridgman High School,Open-Active,2694660223,9964 GAST RD,BRIDGMAN,MI,491069750,Bridgman Public Schools,"9,10,11,12",
F.C. Reed Middle School,Open-Active,2694655410,10254 CALIFORNIA,BRIDGMAN,MI,491069366,Bridgman Public Schools,"5,6,7,8",
Buchanan High School,Open-Active,2696958403,401 WEST CHICAGO ST,BUCHANAN,MI,491071044,Buchanan Community Schools,"8,9,10,11,12",
Buchanan Middle School,Open-Active,2696958406,610 WEST 4TH ST,BUCHANAN,MI,491071175,Buchanan Community Schools,"5,6,7",
Buchanan Step Up,Open-Active,2696958401,401 West Chicago Street,Buchanan,MI,491071044,Buchanan Community Schools,"8,9,10,11,12",
Buchanan Virtual Academy,Open-Active,2696958401,401 W Chicago St                                            ,Buchanan                                                    ,MI,491071044,Buchanan Community Schools,"5,6,7,8,9,10,11,12",
Moccasin Elementary School,Open-Active,2696958408,410 MOCCASIN ST,BUCHANAN,MI,491071252,Buchanan Community Schools,"2,3,4",
Ottawa Elementary School,Open-Active,2696958409,109 OTTAWA ST,BUCHANAN,MI,491071136,Buchanan Community Schools,"DevK-Part,KG,1",
Stark Elementary School,Closed,2696958407,502 CLAREMONT ST,BUCHANAN,MI,491071712,Buchanan Community Schools,"KG-Part,1,2,3,4,5",
Coloma Elementary School,Open-Active,2694682420,262 WEST ST,COLOMA,MI,49038    ,Coloma Community Schools,"DevK,KG,1,2,3",
Coloma High School,Open-Active,2694682400,300 WEST SAINT JOSEPH ST,COLOMA,MI,490389594,Coloma Community Schools,"9,10,11,12",
Coloma Intermediate School,Open-Active,2694682415,274A SOUTH WEST ST,COLOMA,MI,490389511,Coloma Community Schools,"4,5",
Coloma Junior High School,Open-Active,2694682405,302 WEST SAINT JOSEPH ST,COLOMA,MI,490389594,Coloma Community Schools,"6,7,8",
Coloma Middle School-north,Closed,6164682410,274-A West Street,Coloma,MI,49038,Coloma Community Schools,"6,7,8",
Pier School,Closed,,4518 Pier Rd,Coloma,MI,490389138,Coloma Community Schools,,
The Bridge Academy,Closed,2699271064,499 W. MAIN STREET,BENTON HARBOR,MI,490223622,Coloma Community Schools,"10,11,12",
Washington Elementary School,Closed,2694682430,6463 BECHT RD E,COLOMA,MI,490389546,Coloma Community Schools,"RetK,KG,1",
Countryside Academy - Elementary,Open-Active,2699445565,4821 North Street,BENTON HARBOR,MI,49022,Countryside Academy,"DevK,KG,1,2,3,4,5",
Countryside Academy - Middle/High School,Open-Active,2699443319,4800 MEADOWBROOK RD,BENTON HARBOR,MI,490229629,Countryside Academy,"6,7,8,9,10,11,12",
Early Child Center,Closed,6164613121,6295 W Main St,Eau Claire,MI,491119330,Eau Claire Public Schools,KG-Part,
Eau Claire High School,Open-Active,2694616997,7450 Hochberger Road,Eau Claire,MI,491119762,Eau Claire Public Schools,"9,10,11,12",
Eau Claire Middle School,Closed,,6238 W Main St,Eau Claire,MI,491119328,Eau Claire Public Schools,,
Eau Claire Middle School,Open-Active,2694616997,7450 Hochberger Road,Eau Claire,MI,491119762,Eau Claire Public Schools,"6,7,8",
Lybrook Elementary School,Open-Active,2694616191,6238 West Main Street,Eau Claire,MI,491119328,Eau Claire Public Schools,"DevK,KG,1,2,3,4,5",
Galien Alternative Education School,Closed,2695453365,122 EAST SOUTHEASTERN ST,GALIEN,MI,491135139,Galien Township School District,"6,7,8,9,10,11,12",
Galien Township Middle School,Closed,2695453365,122 EAST SOUTHEASTERN ST,GALIEN,MI,491135139,Galien Township School District,"6,7,8",
Wolford Elementary School,Closed,2695453365,122 EAST SOUTHEASTERN ST,GALIEN,MI,491135139,Galien Township School District,"KG,1,2,3,4,5",
Riverside School,Open-Active,2698491343,3422 RIVERSIDE RD,BENTON HARBOR,MI,490229583,Hagar Township S/D #6,"KG,1,2,3,4,5,6,7,8",
Hollywood Elementary School,Open-Active,2694281414,143 EAST JOHN BEERS RD,STEVENSVILLE,MI,491278436,Lakeshore School District (Berrien),"DevK,KG,1,2,3,4,5",
Lakeshore High School,Open-Active,2694281402,5771 CLEVELAND AVE,STEVENSVILLE,MI,491279481,Lakeshore School District (Berrien),"9,10,11,12",
Lakeshore Middle School,Open-Active,2694281408,1459 WEST JOHN BEERS RD,STEVENSVILLE,MI,491279408,Lakeshore School District (Berrien),"6,7,8",
Roosevelt Elementary School,Open-Active,2694281416,2000 EL DORADO DR,STEVENSVILLE,MI,491278607,Lakeshore School District (Berrien),"DevK,KG,1,2,3,4,5",
Stewart Elementary School,Open-Active,2694281418,2750 ORCHARD LN,STEVENSVILLE,MI,491279398,Lakeshore School District (Berrien),"DevK,KG,1,2,3,4,5",
Mildred C. Wells Preparatory Academy,Open-Active,2699262885,248 9TH ST,BENTON HARBOR,MI,490224723,Mildred C. Wells Preparatory Academy,"KG,1,2,3,4,5,6,7",
New Buffalo Elementary School,Open-Active,2694696060,12291 LUBKE RD,NEW BUFFALO,MI,491178867,New Buffalo Area Schools,"KG,1,2,3,4,5",
New Buffalo Middle School,Open-Active,2694696003,1112 EAST CLAY ST,NEW BUFFALO,MI,491171540,New Buffalo Area Schools,"6,7,8",
New Buffalo Senior High School,Open-Active,2694696001,1112 EAST CLAY ST,NEW BUFFALO,MI,491171540,New Buffalo Area Schools,"9,10,11,12",
Ballard Elementary School,Open-Active,2696835900,1601 WEST CHICAGO RD,NILES,MI,491203168,Niles Community Schools,"KG,KG-Part,1,2,3,4,5",
Eastside Connections School,Open-Active,2696822585,1 TYLER ST,NILES,MI,491203784,Niles Community Schools,"KG,1,2,3,4,5,6,7,8",
Eastside Elementary School,Closed,2696832585,315 NORTH 14TH ST,NILES,MI,491202022,Niles Community Schools,"KG-Part,1,2,3,4,5",
Howard-Ellis Elementary School,Open-Active,2696834633,2788 MANNIX ST,NILES,MI,491209420,Niles Community Schools,"DevK,KG,1,2,3,4,5",
James Ellis School,Closed,2696834635,2740 MANNIX ST,NILES,MI,491209420,Niles Community Schools,"KG,1",
Niles Cedar Lane,Open-Active,2696849554,1 TYLER ST,NILES,MI,491203784,Niles Community Schools,"9,10,11,12",
Niles Comm. Schools Adult Education,Open-Active,2696844480,111 SPRUCE ST,NILES,MI,491202963,Niles Community Schools,"9,10,11,12",
Niles Extended School Community,Open-Active,2696830736,111 Spruce Street,Niles,MI,491203863,Niles Community Schools,"KG,KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",
Niles New Tech Entrepreneurial Academy,Closed,2696836031,1441 Eagle Street,Niles,MI,491201998,Niles Community Schools,"9,10",
Niles Senior High School,Open-Active,2696832894,1441 EAGLE ST,NILES,MI,491201933,Niles Community Schools,"9,10,11,12",
Northside Child Development Center,Open-Active,2696831982,2020 NORTH 5TH ST,NILES,MI,491201100,Niles Community Schools,"DevK,DevK-Part,KG,KG-Part",
Oak Manor Sixth Grade Center,Closed,2696837484,1 TYLER ST,NILES,MI,491203784,Niles Community Schools,6,
Ring Lardner Middle School,Open-Active,2696836610,801 NORTH 17TH ST,NILES,MI,491201921,Niles Community Schools,"6,7,8",
Southside Special Educ School,Open-Active,2696830421,1450 SILVERBROOK AVE,NILES,MI,491203863,Niles Community Schools,"4,5,6,7,8,9,10,11,12",
W-A-Y Niles,Open-Active,2696836662,111 Spruce Street,Niles,MI,491203168,Niles Community Schools,"6,7,8,9,10,11,12",
Pathfinder Charter Academy,Closed,6162221700,300 E Napier Ave,Benton Harbor,MI,490227336,Pathfinder Charter Academy,"KG-Part,1,2",
